,Unnamed: 0,Mã số, Gây ra, ISO3, Năm, Tình dục, Nhóm tuổi, Dân số, Tử vong, Tỷ lệ tử vong trên 100.000 dân, DALY, Tỷ lệ DALY trên 100.000 dân
40,40, 13:30, Bệnh ngoài da, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1515.18,1.57,294742.4,305.43
41,41, 870, Rối loạn sử dụng ma túy, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1365.69,1.42,190031.9,196.92
42,42, 745, Ung thư thận, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1356.06,1.41,48176.39,49.92
43,43, 720, Ung thư tử cung, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1158.63,1.2,38122.39,39.51
44,44, 1248, Viêm tụy, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1084.43,1.12,31032.15,32.16
45,45, 1220, Bệnh viêm loét dạ dày, VNM,2019, BTSX, Mọi lứa tuổi,96500000,956.84,0.99,16347.78,16.94
46,46, 670, Ung thư tuyến tụy, VNM,2019, BTSX, Mọi lứa tuổi,96500000,929.46,0.96,27952.99,28.97
47,47, 750, Ung thư bàng quang, VNM,2019, BTSX, Mọi lứa tuổi,96500000,896.33,0.93,19940.37,20.66
48,48, 753, Ung thư thanh quản, VNM,2019, BTSX, Mọi lứa tuổi,96500000,874.21,0.91,27597.85,28.6
49,49, 860,Rối loạn sử dụng rượu, VNM,2019, BTSX, Mọi lứa tuổi,96500000,866.81,0.9,201445.7,208.75
50,50, 730, Ung thư buồng trứng, VNM,2019, BTSX, Mọi lứa tuổi,96500000,863.56,0.89,31109.45,32.24
51,51, 1540, Ngộ độc, VNM,2019, BTSX, Mọi lứa tuổi,96500000,831.88,0.86,36785.19,38.12
52,52, 420, Điều kiện của mẹ, VNM,2019, BTSX, Mọi lứa tuổi,96500000,773.03,0.8,53511.52,55.45
53,53, 130, Bịnh ho gà, VNM,2019, BTSX, Mọi lứa tuổi,96500000,704.93,0.73,63655.23,65.96
54,54, 170, Viêm màng não, VNM,2019, BTSX, Mọi lứa tuổi,96500000,624.41,0.65,36578.01,37.9
55,55, 1560," Lửa, nhiệt và các chất nóng", VNM,2019, BTSX, Mọi lứa tuổi,96500000,594.52,0.62,59673.46,61.84
56,56, 970, bệnh động kinh, VNM,2019, BTSX, Mọi lứa tuổi,96500000,582.71,0.6,103724.5,107.49
57,57, 754, Ung thư tuyến giáp, VNM,2019, BTSX, Mọi lứa tuổi,96500000,526.15,0.55,20549.84,21.3
58,58, 320, bệnh dại, VNM,2019, BTSX, Mọi lứa tuổi,96500000,509.27,0.53,22466.51,23.28
59,59, 690, Khối u ác tính và các bệnh ung thư da khác, VNM,2019, BTSX, Mọi lứa tuổi,96500000,467.11,0.48,13275.11,13.76
60,60, 752, Ung thư túi mật và đường mật, VNM,2019, BTSX, Mọi lứa tuổi,96500000,429.76,0.45,11804.77,12.23
61,61, 190, Viêm gan B cấp tính, VNM,2019, BTSX, Mọi lứa tuổi,96500000,379.11,0.39,15752.92,16.32
62,62, 1505, Hội chứng trẻ sơ sinh chết đột ngột, VNM,2019, BTSX, Mọi lứa tuổi,96500000,341.76,0.35,30604.01,31.71
63,63, 50, Bịnh giang mai, VNM,2019, BTSX, Mọi lứa tuổi,96500000,328.13,0.34,29353.8,30.42
64,64, 755, Ung thư trung biểu mô, VNM,2019, BTSX, Mọi lứa tuổi,96500000,310.5,0.32,9666.25,10.02
65,65, 160, Uốn ván, VNM,2019, BTSX, Mọi lứa tuổi,96500000,286.39,0.3,15307.78,15.86
66,66, 1350, Viêm khớp dạng thấp, VNM,2019, BTSX, Mọi lứa tuổi,96500000,223.53,0.23,19685.27,20.4
67,67, 1244, Bệnh viêm ruột, VNM,2019, BTSX, Mọi lứa tuổi,96500000,208.65,0.22,7536.81,7.81
68,68, 1240, Viêm ruột thừa, VNM,2019, BTSX, Mọi lứa tuổi,96500000,201.07,0.21,9250.31,9.59
69,69, 811, bệnh thalassemia, VNM,2019, BTSX, Mọi lứa tuổi,96500000,179.02,0.19,44486.77,46.1
70,70, 186, Viêm gan A cấp tính, VNM,2019, BTSX, Mọi lứa tuổi,96500000,175.61,0.18,7976.76,8.27
71,71, 980, Bệnh đa xơ cứng, VNM,2019, BTSX, Mọi lứa tuổi,96500000,135.49,0.14,5376.83,5.57
72,72, 1290, sỏi tiết niệu, VNM,2019, BTSX, Mọi lứa tuổi,96500000,128.0,0.13,8994.25,9.32
73,73, 300, Sốt xuất huyết, VNM,2019, BTSX, Mọi lứa tuổi,96500000,126.58,0.13,16978.54,17.59
74,74, 550, Suy dinh dưỡng protein-năng lượng, VNM,2019, BTSX, Mọi lứa tuổi,96500000,120.03,0.12,48930.24,50.7
75,75, 742, Ung thư tinh hoàn, VNM,2019, BTSX, Mọi lứa tuổi,96500000,76.54,0.08,2410.69,2.5
76,76, 200, Viêm gan C cấp tính, VNM,2019, BTSX, Mọi lứa tuổi,96500000,78.43,0.08,2661.36,2.76
77,77, 1241, Viêm dạ dày và viêm tá tràng, VNM,2019, BTSX, Mọi lứa tuổi,96500000,62.14,0.06,21045.94,21.81
78,78, 16 giờ 30,Bạo lực tập thể và sự can thiệp của pháp luật, VNM,2019, BTSX, Mọi lứa tuổi,96500000,34.02,0.04,2163.81,2.24
79,79, 400, Nhiễm trùng đường hô hấp trên, VNM,2019, BTSX, Mọi lứa tuổi,96500000,33.7,0.03,63780.14,66.09
80,80, 205, Viêm gan E cấp tính, VNM,2019, BTSX, Mọi lứa tuổi,96500000,25.02,0.03,1112.09,1.15
81,81, 295, bệnh Echinococcus, VNM,2019, BTSX, Mọi lứa tuổi,96500000,30.69,0.03,998.56,1.03
82,82, 340, Bệnh giun đũa, VNM,2019, BTSX, Mọi lứa tuổi,96500000,8.93,0.01,26866.72,27.84
83,83, 285, Bệnh giun sán, VNM,2019, BTSX, Mọi lứa tuổi,96500000,13.88,0.01,21759.77,22.55
84,84, 220, Bệnh sốt rét, VNM,2019, BTSX, Mọi lứa tuổi,96500000,14.0,0.01,1588.75,1.65
85,85, 1580, Thảm họa thiên nhiên, VNM,2019, BTSX, Mọi lứa tuổi,96500000,5.07,0.01,5885.33,6.1
86,86, 1320, Bệnh phụ khoa, VNM,2019, BTSX, Mọi lứa tuổi,96500000,9.08,0.01,268669.7,278.41
87,87, 1470, Tình trạng răng miệng, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,208678.7,216.25
88,88, 1310, Khô khan, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,23763.66,24.63
89,89, 1280, Tăng sản tuyến tiền liệt lành tính, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,32334.11,33.51
90,90, 1360, Viêm xương khớp, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,134153.1,139.02
91,91, 1370, Bệnh gout, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,18687.34,19.37
92,92, 1380, Đau lưng và cổ, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,729844.9,756.32
93,93, 990, chứng đau nửa đầu, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,389606.3,403.74
94,94, 1000, Đau đầu không đau nửa đầu, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,52476.99,54.38
95,95, 10:30, bệnh tăng nhãn áp, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,11175.96,11.58
96,96, 1040, Đục thủy tinh thể, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,100297.7,103.94
97,97, 1050, Lỗi khúc xạ chưa được điều trị, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,369895.0,383.31
98,98, 1060, Thoái hóa điểm vàng, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,21693.54,22.48
99,99, 1070, Mất thị lực khác, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,271219.3,281.06
100,100, 1080, Mất thính lực khác, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,518919.1,537.74
101,101, 230, Bệnh Trypanosomosis Châu Phi, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,0.0,0.0
102,102, 240, bệnh Chagas, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,0.0,0.0
103,103, 250, Bệnh sán máng, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,0.0,0.0
104,104, 260, bệnh leishmania, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,0.0,0.0
105,105, 270, Giun chỉ bạch huyết, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,28884.01,29.93
106,106, 280, Bệnh giun chỉ, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,0.0,0.0
107,107, 310, bệnh đau mắt hột, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,1450.67,1.5
108,108, 315,Sốt vàng, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,0.0,0.0
109,109, 350, bệnh lông tóc, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,12742.28,13.2
110,110, 360, Bệnh giun móc, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,3737.85,3.87
111,111, 362, Giun sán do thực phẩm, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,15699.37,16.27
112,112, 365, bệnh phong, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,91.94,0.1
113,113, 60, Chlamydia, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.99,0.0,4557.65,4.72
114,114, 70, Bệnh da liểu, VNM,2019, BTSX, Mọi lứa tuổi,96500000,3.19,0.0,2201.91,2.28
115,115, 80, Trichomonas, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,2266.52,2.35
116,116, 85, mụn rộp sinh dục, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,3843.46,3.98
117,117, 140, bệnh bạch hầu, VNM,2019, BTSX, Mọi lứa tuổi,96500000,3.46,0.0,214.35,0.22
118,118, 410, Viêm tai giữa, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.64,0.0,27823.27,28.83
119,119, 812, Rối loạn hồng cầu hình liềm và đặc điểm, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.36,0.0,1623.88,1.68
120,120, 830, Rối loạn trầm cảm, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,375318.0,388.93
121,121, 840, Rối loạn lưỡng cực, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,76546.1,79.32
122,122, 850, Tâm thần phân liệt, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,230552.2,238.91
123,123, 880, Rối loạn lo âu, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,221827.5,229.87
124,124, 890, Rối loạn ăn uống, VNM,2019, BTSX, Mọi lứa tuổi,96500000,1.89,0.0,20716.04,21.47
125,125, 900, Tự kỷ và hội chứng Asperger, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,46090.77,47.76
126,126, 910, Rối loạn hành vi thời thơ ấu, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,61903.65,64.15
127,127, 920, Khuyết tật trí tuệ vô căn, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,60259.59,62.45
128,128, 560, Thiêu I ôt, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,14679.63,15.21
129,129, 570, Thiếu vitamin A, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,2974.84,3.08
130,130, 580, Thiếu máu thiếu sắt, VNM,2019, BTSX, Mọi lứa tuổi,96500000,0.0,0.0,140828.8,145.94
