,Mã số, Gây ra, ISO3, Năm, Tình dục, Nhóm tuổi, Dân số, Tử vong, Tỷ lệ tử vong trên 100.000 dân, DALY, Tỷ lệ DALY trên 100.000 dân
103,85, mụn rộp sinh dục, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,3665.45,3.92
104,80, Trichomonas, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,2255.54,2.41
105,70, Bệnh da liểu, VNM,2016, BTSX, Mọi lứa tuổi,93600000,3.2,0,2271.09,2.43
106,250, Bệnh sán máng, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,0,0
107,260, bệnh leishmania, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,0,0
108,270, Giun chỉ bạch huyết, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,26822.44,28.66
109,280,Bệnh giun chỉ, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,0,0
110,60, Chlamydia, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0.97,0,4534.05,4.84
111,350, bệnh lông tóc, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,13013.4,13.9
112,360, Bệnh giun móc, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,5007.2,5.35
113,362, Giun sán do thực phẩm, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,15398.44,16.45
114,365, bệnh phong, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,84.71,0.09
115,410, Viêm tai giữa, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0.7,0,27987.69,29.9
116,295, bệnh Echinococcus, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,6.18,0.01
117,310, bệnh đau mắt hột, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,1585.37,1.69
118,315, Sốt vàng, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,0,0
119,812, Rối loạn hồng cầu hình liềm và đặc điểm, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0.42,0,1750.99,1.87
120,830, Rối loạn trầm cảm, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,360866,385.54
121,840, Rối loạn lưỡng cực, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,74345.33,79.43
122,850, Tâm thần phân liệt, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,221572.4,236.72
123,880, Rối loạn lo âu, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,215511.7,230.25
124,890, Rối loạn ăn uống, VNM,2016, BTSX, Mọi lứa tuổi,93600000,1.77,0,19926.09,21.29
125,900, Tự kỷ và hội chứng Asperger, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,45015.46,48.09
126,910, Rối loạn hành vi thời thơ ấu, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,60548.78,64.69
127,920, Khuyết tật trí tuệ vô căn, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,65279.9,69.74
128,560, Thiêu I ôt, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,15695.97,16.77
129,570, Thiếu vitamin A, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,3451.97,3.69
130,580, Thiếu máu thiếu sắt, VNM,2016, BTSX, Mọi lứa tuổi,93600000,0,0,145245.9,155.18
