, Gây ra, Năm, Dân số, Tử vong, Tỷ lệ tử vong trên 100.000 dân, DALY, Tỷ lệ DALY trên 100.000 dân
29," U lympho, đa u tủy",2015,92700000,2618.64,2.82,91437.86,98.64
30, Ung thư tử cung cổ tử cung,2015,92700000,2250.2,2.43,71485.84,77.12
31, Liệt ruột và tắc ruột,2015,92700000,2251.91,2.43,60186.91,64.93
32, Ung thư thực quản,2015,92700000,2040.82,2.2,61462.85,66.3
33, Bệnh túi mật và đường mật,2015,92700000,1903.92,2.05,56195.52,60.62
34, Tiếp xúc với lực cơ học,2015,92700000,1883.25,2.03,150079.4,161.9
35, Ung thư tuyến tiền liệt,2015,92700000,1739.97,1.88,50223.12,54.18
36, Huyết áp thấp,2015,92700000,1671.37,1.8,44021.45,47.49
37, Bạo lực giữa các cá nhân,2015,92700000,1662.94,1.79,140804.2,151.89
38, Viêm não,2015,92700000,1588.49,1.71,76132.82,82.13
39, Bệnh ngoài da,2015,92700000,1306.04,1.41,282861.2,305.14
40, Rối loạn sử dụng ma túy,2015,92700000,1187.52,1.28,180158.5,194.35
41, Ung thư thận,2015,92700000,1172.7,1.27,42715.19,46.08
42, Ung thư tử cung,2015,92700000,1043.69,1.13,34514.22,37.23
43, Viêm tụy,2015,92700000,981.64,1.06,28813.5,31.08
44, Bệnh viêm loét dạ dày,2015,92700000,924.69,1,15541.6,16.77
45, Ngộ độc,2015,92700000,839.3,0.91,38921.53,41.99
46, Bịnh ho gà,2015,92700000,818.29,0.88,73573.3,79.37
47, Điều kiện của mẹ,2015,92700000,800.94,0.86,57584.83,62.12
48, Ung thư bàng quang,2015,92700000,791.82,0.85,17379.98,18.75
49,Ung thư thanh quản,2015,92700000,787.54,0.85,25073.87,27.05
50, Rối loạn sử dụng rượu,2015,92700000,785.87,0.85,188703.9,203.56
51, Ung thư tuyến tụy,2015,92700000,764.32,0.82,23229.13,25.06
52, Ung thư buồng trứng,2015,92700000,745.99,0.8,27297.81,29.45
53, Viêm màng não,2015,92700000,709.67,0.77,43654.88,47.09
54, bệnh dại,2015,92700000,649.99,0.7,29716.55,32.06
55, bệnh động kinh,2015,92700000,648.4,0.7,99853.26,107.72
56," Lửa, nhiệt và các chất nóng",2015,92700000,579.04,0.62,58536.21,63.15
57, Ung thư tuyến giáp,2015,92700000,492.01,0.53,19209.27,20.72
58, Khối u ác tính và các bệnh ung thư da khác,2015,92700000,424.13,0.46,12241.11,13.21
59, Viêm gan B cấp tính,2015,92700000,384.73,0.42,16467.48,17.76
60, Ung thư túi mật và đường mật,2015,92700000,383.78,0.41,10607.96,11.44
61, Hội chứng trẻ sơ sinh chết đột ngột,2015,92700000,346.87,0.37,31062.34,33.51
62, Uốn ván,2015,92700000,330.97,0.36,17149.97,18.5
63, Bịnh giang mai,2015,92700000,285.89,0.31,25553.54,27.57
64, Ung thư trung biểu mô,2015,92700000,289.39,0.31,9131.58,9.85
65, Viêm gan A cấp tính,2015,92700000,212.21,0.23,9272.12,10
66, bệnh thalassemia,2015,92700000,203.1,0.22,47210.37,50.93
67, Viêm ruột thừa,2015,92700000,205.75,0.22,9766.11,10.54
68, Bệnh viêm ruột,2015,92700000,192.91,0.21,7080.59,7.64
69, Viêm khớp dạng thấp,2015,92700000,195,0.21,17259.66,18.62
70, Suy dinh dưỡng protein-năng lượng,2015,92700000,138.14,0.15,42904.34,46.28
71, Sốt xuất huyết,2015,92700000,125.25,0.14,16137.58,17.41
72, Bệnh đa xơ cứng,2015,92700000,121.17,0.13,4915.83,5.3
73, sỏi tiết niệu,2015,92700000,104.6,0.11,7759.08,8.37
74, Viêm gan C cấp tính,2015,92700000,83.6,0.09,2919.52,3.15
75, Ung thư tinh hoàn,2015,92700000,68.18,0.07,2135.42,2.3
76, Viêm dạ dày và viêm tá tràng,2015,92700000,58.49,0.06,19220.43,20.73
77, Thảm họa thiên nhiên,2015,92700000,52.33,0.06,8636.21,9.32
78,Bạo lực tập thể và sự can thiệp của pháp luật,2015,92700000,38.36,0.04,2421.76,2.61
79, Bệnh sởi,2015,92700000,36.82,0.04,3331.46,3.59
80, Nhiễm trùng đường hô hấp trên,2015,92700000,34.68,0.04,62333.18,67.24
81, Viêm gan E cấp tính,2015,92700000,25.63,0.03,1192.5,1.29
82, Bệnh sốt rét,2015,92700000,16.16,0.02,2073.38,2.24
83, Bệnh giun sán,2015,92700000,17.65,0.02,21486.71,23.18
84, Bệnh giun đũa,2015,92700000,11.22,0.01,29090.51,31.38
85, bệnh bạch hầu,2015,92700000,4.69,0.01,299.68,0.32
86, Bệnh phụ khoa,2015,92700000,8.51,0.01,261604.6,282.21
87, Tình trạng răng miệng,2015,92700000,0,0,193338.3,208.56
88, Khô khan,2015,92700000,0,0,23501.53,25.35
89, Tăng sản tuyến tiền liệt lành tính,2015,92700000,0,0,27020.11,29.15
90, Viêm xương khớp,2015,92700000,0,0,116856.8,126.06
91, Bệnh gout,2015,92700000,0,0,16429.94,17.72
92, Đau lưng và cổ,2015,92700000,0,0,662219,714.37
93, chứng đau nửa đầu,2015,92700000,0,0,376819,406.49
94, Đau đầu không đau nửa đầu,2015,92700000,0,0,49959.47,53.89
95, bệnh tăng nhãn áp,2015,92700000,0,0,11266.3,12.15
96, Đục thủy tinh thể,2015,92700000,0,0,98010.09,105.73
97, Lỗi khúc xạ chưa được điều trị,2015,92700000,0,0,354500.2,382.42
98, Thoái hóa điểm vàng,2015,92700000,0,0,19336.3,20.86
99, Mất thị lực khác,2015,92700000,0,0,255871.8,276.02
100, Mất thính lực khác,2015,92700000,0,0,485736,523.99
101, Chlamydia,2015,92700000,0.97,0,4519.31,4.88
102, Bệnh da liểu,2015,92700000,3.18,0,2278.08,2.46
103, Trichomonas,2015,92700000,0,0,2279.03,2.46
104, mụn rộp sinh dục,2015,92700000,0,0,3609.36,3.89
105, Bệnh Trypanosomosis Châu Phi,2015,92700000,0,0,0,0
106, bệnh Chagas,2015,92700000,0,0,0,0
107, Bệnh sán máng,2015,92700000,0,0,0,0
108, bệnh leishmania,2015,92700000,0,0,0,0
109,Giun chỉ bạch huyết,2015,92700000,0,0,25414.11,27.42
110, Bệnh giun chỉ,2015,92700000,0,0,0,0
111, bệnh lông tóc,2015,92700000,0,0,12770.37,13.78
112, Bệnh giun móc,2015,92700000,0,0,5577.09,6.02
113, Giun sán do thực phẩm,2015,92700000,0,0,15219.34,16.42
114, bệnh phong,2015,92700000,0,0,83.22,0.09
115, Viêm tai giữa,2015,92700000,0.73,0,28168.07,30.39
116, bệnh Echinococcus,2015,92700000,0,0,6.1,0.01
117, bệnh đau mắt hột,2015,92700000,0,0,1703.03,1.84
118, Sốt vàng,2015,92700000,0,0,0,0
119, Rối loạn hồng cầu hình liềm và đặc điểm,2015,92700000,0.43,0,1773.99,1.91
120, Rối loạn trầm cảm,2015,92700000,0,0,355575.7,383.58
121, Rối loạn lưỡng cực,2015,92700000,0,0,73497.35,79.29
122, Tâm thần phân liệt,2015,92700000,0,0,218472.2,235.68
123, Rối loạn lo âu,2015,92700000,0,0,213514,230.33
124, Rối loạn ăn uống,2015,92700000,1.72,0,19553.49,21.09
125, Tự kỷ và hội chứng Asperger,2015,92700000,0,0,44570.93,48.08
126, Rối loạn hành vi thời thơ ấu,2015,92700000,0,0,60656.14,65.43
127, Khuyết tật trí tuệ vô căn,2015,92700000,0,0,67065.09,72.35
128, Thiêu I ôt,2015,92700000,0,0,16004.62,17.26
129, Thiếu vitamin A,2015,92700000,0,0,3657.69,3.95
130, Thiếu máu thiếu sắt,2015,92700000,0,0,146191.3,157.7
