date, pm25
2022-10-31,187
2022-11-03,95
2022-11-04,84
2022-11-05,87
2022-11-06,78
2022-11-07,93
2022-11-08,92
2022-11-14,85
2022-11-16,94
2022-11-17,78
2022-11-18,99
2022-11-19,72
2022-11-20,69
2022-12-01,80
2022-12-02,68
2022-12-08,70
2022-12-09,83
2022-12-10,107
2022-12-11,80
2022-12-12,79
2022-12-13,93
2022-12-14,129
2022-12-15,109
2022-12-16,90
2022-12-17,84
2022-12-18,35
2022-12-19,50
2022-12-20,91
2022-12-21,119
2022-12-22,91
2022-12-23,82
2022-12-24,102
2022-12-25,95
2022-12-26,94
2022-12-27,136
2022-12-28,136
2022-12-29,114
2022-12-30,111
2022-12-31,97
2023-01-01,73
2022-07-12,51
2022-07-13,60
2022-07-14,70
2022-07-15,62
2022-07-16,60
2022-07-17,57
2022-07-18,60
2022-07-19,60
2022-07-20,64
2022-07-21,76
2022-07-22,95
2022-07-23,77
2022-07-24,67
2022-07-25,60
2022-07-26,71
2022-07-27,83
2022-07-28,79
2022-07-29,67
2022-07-30,68
2022-07-31,58
2022-08-01,62
2022-08-02,66
2022-08-03,58
2022-08-04,73
2022-08-05,57
2022-08-06,65
2022-08-07,50
2022-08-08,65
2022-08-09,73
2022-08-10,56
2022-08-11,55
2022-08-12,87
2022-08-13,80
2022-08-14,84
2022-08-15,68
2022-08-16,84
2022-08-17,61
2022-08-18,63
2022-08-19,63
2022-08-20,69
2022-08-21,60
2022-08-22,55
2022-08-23,67
2022-08-24,76
2022-08-25,49
2022-08-26,64
2022-08-27,80
2022-08-28,98
2022-08-29,53
2022-08-30,56
2022-08-31,74
2022-09-01,87
2022-09-02,57
2022-09-03,49
2022-09-04,42
2022-09-05,42
2022-09-06,49
2022-09-07,62
2022-09-08,39
2022-09-09,57
2022-09-10,60
2022-09-11,42
2022-09-12,46
2022-09-13,67
2022-09-14,49
2022-09-15,49
2022-09-16,61
2022-09-17,85
2022-09-21,52
2022-09-22,50
2022-09-23,59
2022-09-24,70
2022-09-25,51
2022-09-26,59
2022-09-27,62
2022-09-28,50
2022-09-29,39
2022-09-30,46
2022-04-01,62
2022-04-02,55
2022-04-03,52
2022-04-04,65
2022-04-05,65
2022-04-06,108
2022-04-07,108
2022-04-08,107
2022-04-09,99
2022-04-10,75
2022-04-11,72
2022-04-12,91
2022-04-13,100
2022-04-14,94
2022-04-15,91
2022-04-16,98
2022-04-17,93
2022-04-18,80
2022-04-19,91
2022-04-20,88
2022-04-21,67
2022-04-22,65
2022-04-23,64
2022-04-24,67
2022-04-25,50
2022-04-26,48
2022-04-27,91
2022-04-28,50
2022-04-29,72
2022-04-30,59
2022-05-01,56
2022-05-02,48
2022-05-03,46
2022-05-04,67
2022-05-05,65
2022-05-06,76
2022-05-07,62
2022-05-08,56
2022-05-09,56
2022-05-10,67
2022-05-11,64
2022-05-12,59
2022-05-13,54
2022-05-14,65
2022-05-15,62
2022-05-16,73
2022-05-17,79
2022-05-18,60
2022-05-19,74
2022-05-20,108
2022-05-21,58
2022-05-22,49
2022-05-23,54
2022-05-24,59
2022-05-25,68
2022-05-26,55
2022-05-27,60
2022-05-28,52
2022-05-29,56
2022-05-30,63
2022-05-31,74
2022-06-01,65
2022-06-02,65
2022-06-03,67
2022-06-04,67
2022-06-05,62
2022-06-06,55
2022-06-07,64
2022-06-08,71
2022-06-09,66
2022-06-10,76
2022-06-11,96
2022-06-12,75
2022-06-13,88
2022-06-14,49
2022-06-15,53
2022-06-16,81
2022-06-17,88
2022-06-18,67
2022-06-19,59
2022-06-20,65
2022-06-21,51
2022-06-22,67
2022-06-23,75
2022-06-24,77
2022-06-25,53
2022-06-26,44
2022-06-27,62
2022-06-28,65
2022-01-03,90
2022-01-04,121
2022-01-05,96
2022-01-06,121
2022-01-07,108
2022-01-08,108
2022-01-09,76
2022-01-10,82
2022-01-11,78
2022-01-12,87
2022-01-13,113
2022-01-14,107
2022-01-15,118
2022-01-16,87
2022-01-17,100
2022-01-18,109
2022-01-19,106
2022-01-20,125
2022-01-21,88
2022-01-22,70
2022-01-23,53
2022-01-24,85
2022-01-25,81
2022-01-26,102
2022-01-27,101
2022-01-28,102
2022-01-29,93
2022-01-30,71
2022-01-31,53
2022-02-01,62
2022-02-02,52
2022-02-03,58
2022-02-04,63
2022-02-05,57
2022-02-06,55
2022-02-07,62
2022-02-08,72
2022-02-09,72
2022-02-10,71
2022-02-11,73
2022-02-12,78
2022-02-13,68
2022-02-14,74
2022-02-15,74
2022-02-24,66
2022-02-25,69
2022-02-26,63
2022-02-27,74
2022-02-28,67
2022-03-01,76
2022-03-02,98
2022-03-03,123
2022-03-04,98
2022-03-05,64
2022-03-06,65
2022-03-07,84
2022-03-08,74
2022-03-09,99
2022-03-10,95
2022-03-11,96
2022-03-12,112
2022-03-13,98
2022-03-14,59
2022-03-15,57
2022-03-16,66
2022-03-17,77
2022-03-18,71
2022-03-19,101
2022-03-20,74
2022-03-21,38
2022-03-22,53
2022-03-23,50
2022-03-24,46
2022-03-25,37
2022-03-26,49
2022-03-27,47
2022-03-28,63
2022-03-29,96
2022-03-30,83
2022-03-31,89
2021-10-01,67
2021-10-02,56
2021-10-03,61
2021-10-04,81
2021-10-05,74
2021-10-06,64
2021-10-07,67
2021-10-08,47
2021-10-12,32
2021-10-13,35
2021-10-20,72
2021-10-21,70
2021-10-22,69
2021-10-23,78
2021-10-24,75
2021-10-25,72
2021-10-26,71
2021-10-27,82
2021-10-28,59
2021-10-29,53
2021-10-30,76
2021-10-31,64
2021-11-01,85
2021-11-02,52
2021-11-03,11
2021-11-04,14
2021-11-05,50
2021-11-06,64
2021-11-07,74
2021-11-08,55
2021-11-09,108
2021-11-10,71
2021-11-11,79
2021-11-12,59
2021-11-13,76
2021-11-14,77
2021-11-15,77
2021-11-16,81
2021-11-17,99
2021-11-18,96
2021-11-19,100
2021-11-20,103
2021-11-21,99
2021-11-22,66
2021-11-23,105
2021-11-24,97
2021-11-25,89
2021-11-26,85
2021-11-27,71
2021-11-28,72
2021-11-29,75
2021-11-30,57
2021-12-01,86
2021-12-02,109
2021-12-03,90
2021-12-04,106
2021-12-05,100
2021-12-06,95
2021-12-07,103
2021-12-08,123
2021-12-09,113
2021-12-10,86
2021-12-11,117
2021-12-12,126
2021-12-13,80
2021-12-14,80
2021-12-15,101
2021-12-16,85
2021-12-17,98
2021-12-18,89
2021-12-19,74
2021-12-20,100
2021-12-21,82
2021-12-22,85
2021-12-23,77
2021-12-24,95
2021-12-25,98
2021-12-26,101
2021-12-27,103
2021-12-28,84
2021-12-29,94
2021-12-30,53
2021-12-31,65
2022-01-01,70
2022-01-02,77
2021-07-01,52
2021-07-02,51
2021-07-03,67
2021-07-04,61
2021-07-05,53
2021-07-06,57
2021-07-07,36
2021-07-08,48
2021-07-09,39
2021-07-10,31
2021-07-11,38
2021-07-12,54
2021-07-13,82
2021-07-14,64
2021-07-15,56
2021-07-16,40
2021-07-17,49
2021-07-18,43
2021-07-19,48
2021-07-20,48
2021-07-21,43
2021-07-22,44
2021-07-23,52
2021-07-24,49
2021-07-25,36
2021-07-26,38
2021-07-27,34
2021-07-28,43
2021-07-29,36
2021-07-30,31
2021-07-31,41
2021-08-01,40
2021-08-02,42
2021-08-03,45
2021-08-04,42
2021-08-05,36
2021-08-06,47
2021-08-07,49
2021-08-08,35
2021-08-09,42
2021-08-10,45
2021-08-11,42
2021-08-12,50
2021-08-13,49
2021-08-14,46
2021-08-15,60
2021-08-16,82
2021-08-17,71
2021-08-18,47
2021-08-19,54
2021-08-20,69
2021-08-21,73
2021-08-22,38
2021-08-23,53
2021-08-24,42
2021-08-25,27
2021-08-26,34
2021-08-27,49
2021-08-28,59
2021-08-29,56
2021-08-30,47
2021-08-31,48
2021-09-01,39
2021-09-02,39
2021-09-03,31
2021-09-04,36
2021-09-05,38
2021-09-06,44
2021-09-07,41
2021-09-08,33
2021-09-09,30
2021-09-10,33
2021-09-11,34
2021-09-12,33
2021-09-13,38
2021-09-14,40
2021-09-15,31
2021-09-16,44
2021-09-17,59
2021-09-18,59
2021-09-19,48
2021-09-20,39
2021-09-21,38
2021-09-22,44
2021-09-23,50
2021-09-24,42
2021-09-25,42
2021-09-26,58
2021-09-27,56
2021-09-28,68
2021-09-29,61
2021-09-30,47
2021-04-01,73
2021-04-02,73
2021-04-03,67
2021-04-04,56
2021-04-05,86
2021-04-06,80
2021-04-07,96
2021-04-08,105
2021-04-09,96
2021-04-10,101
2021-04-11,70
2021-04-12,71
2021-04-13,65
2021-04-14,56
2021-04-15,85
2021-04-16,66
2021-04-17,81
2021-04-18,69
2021-04-19,67
2021-04-20,68
2021-04-21,66
2021-04-22,68
2021-04-23,79
2021-04-24,56
2021-04-25,51
2021-04-26,53
2021-04-27,58
2021-04-28,63
2021-04-29,72
2021-04-30,63
2021-05-01,54
2021-05-02,58
2021-05-03,61
2021-05-04,85
2021-05-05,65
2021-05-06,61
2021-05-07,84
2021-05-08,104
2021-05-09,58
2021-05-10,55
2021-05-11,46
2021-05-12,55
2021-05-13,53
2021-05-14,42
2021-05-15,70
2021-05-16,84
2021-05-17,43
2021-05-18,46
2021-05-19,78
2021-05-20,56
2021-05-21,68
2021-05-22,60
2021-05-23,57
2021-05-24,59
2021-05-25,75
2021-05-26,56
2021-05-27,75
2021-05-28,47
2021-05-29,48
2021-05-30,53
2021-05-31,60
2021-06-01,68
2021-06-02,75
2021-06-03,67
2021-06-04,67
2021-06-05,61
2021-06-06,56
2021-06-07,43
2021-06-08,53
2021-06-09,85
2021-06-10,54
2021-06-11,43
2021-06-12,42
2021-06-13,51
2021-06-14,50
2021-06-15,55
2021-06-16,62
2021-06-17,84
2021-06-18,77
2021-06-19,72
2021-06-20,54
2021-06-21,55
2021-06-22,56
2021-06-23,57
2021-06-24,73
2021-06-25,59
2021-06-26,54
2021-06-27,50
2021-06-28,54
2021-06-29,62
2021-06-30,63
2021-01-04,86
2021-01-05,78
2021-01-06,69
2021-01-07,81
2021-01-08,117
2021-01-09,96
2021-01-10,97
2021-01-11,98
2021-01-12,70
2021-01-13,109
2021-01-14,121
2021-01-15,112
2021-01-16,119
2021-01-17,85
2021-01-18,81
2021-01-19,153
2021-01-20,158
2021-01-21,125
2021-01-22,98
2021-01-23,94
2021-01-24,85
2021-01-25,101
2021-01-26,109
2021-01-27,114
2021-01-28,107
2021-01-29,108
2021-01-30,135
2021-01-31,120
2021-02-01,107
2021-02-02,98
2021-02-03,108
2021-02-04,115
2021-02-05,116
2021-02-06,115
2021-02-07,114
2021-02-08,96
2021-02-09,91
2021-02-10,64
2021-02-11,62
2021-02-12,66
2021-02-13,68
2021-02-14,63
2021-02-15,68
2021-02-16,67
2021-02-17,59
2021-02-18,94
2021-02-19,84
2021-02-20,88
2021-02-21,100
2021-02-22,73
2021-02-23,85
2021-02-24,73
2021-02-25,76
2021-02-26,80
2021-02-27,102
2021-02-28,59
2021-03-01,51
2021-03-02,60
2021-03-03,66
2021-03-04,68
2021-03-05,56
2021-03-06,64
2021-03-07,63
2021-03-08,87
2021-03-09,84
2021-03-10,86
2021-03-11,82
2021-03-12,74
2021-03-13,91
2021-03-14,99
2021-03-15,95
2021-03-16,79
2021-03-17,70
2021-03-18,60
2021-03-19,58
2021-03-20,48
2021-03-21,59
2021-03-22,78
2021-03-23,98
2021-03-24,77
2021-03-25,57
2021-03-26,61
2021-03-27,63
2021-03-28,57
2021-03-29,57
2021-03-30,74
2021-03-31,76
2020-10-01,60
2020-10-02,76
2020-10-03,75
2020-10-04,45
2020-10-05,50
2020-10-06,67
2020-10-07,63
2020-10-08,48
2020-10-09,58
2020-10-10,83
2020-10-11,50
2020-10-12,46
2020-10-13,58
2020-10-14,49
2020-10-15,51
2020-10-16,40
2020-10-17,37
2020-10-18,44
2020-10-19,56
2020-10-20,63
2020-10-21,56
2020-10-22,102
2020-10-23,70
2020-10-24,85
2020-10-25,70
2020-10-26,97
2020-10-27,87
2020-10-28,79
2020-10-29,58
2020-10-30,72
2020-10-31,78
2020-11-01,63
2020-11-02,63
2020-11-03,102
2020-11-04,97
2020-11-05,110
2020-11-06,87
2020-11-07,73
2020-11-08,81
2020-11-09,93
2020-11-10,83
2020-11-11,71
2020-11-12,100
2020-11-13,86
2020-11-14,80
2020-11-15,90
2020-11-16,90
2020-11-17,103
2020-11-18,84
2020-11-19,85
2020-11-20,68
2020-11-21,110
2020-11-22,92
2020-11-23,95
2020-11-24,95
2020-11-25,90
2020-11-26,90
2020-11-27,98
2020-11-28,72
2020-11-29,74
2020-11-30,75
2020-12-01,82
2020-12-02,72
2020-12-03,77
2020-12-04,88
2020-12-05,109
2020-12-06,80
2020-12-07,84
2020-12-08,90
2020-12-09,88
2020-12-10,108
2020-12-11,118
2020-12-12,92
2020-12-13,121
2020-12-14,66
2020-12-15,105
2020-12-16,90
2020-12-17,77
2020-12-18,65
2020-12-19,60
2020-12-20,58
2020-12-21,54
2020-12-22,58
2020-12-23,93
2020-12-24,103
2020-12-25,78
2020-12-26,72
2020-12-27,104
2020-12-28,93
2020-12-29,95
2020-12-30,75
2020-12-31,71
2021-01-01,61
2021-01-02,74
2021-01-03,85
2020-07-01,101
2020-07-02,57
2020-07-03,52
2020-07-04,77
2020-07-05,80
2020-07-06,61
2020-07-07,52
2020-07-08,82
2020-07-09,104
2020-07-10,55
2020-07-11,68
2020-07-12,47
2020-07-13,54
2020-07-14,67
2020-07-15,57
2020-07-16,53
2020-07-17,42
2020-07-18,79
2020-07-19,113
2020-07-20,73
2020-07-21,84
2020-07-22,53
2020-07-23,73
2020-07-24,78
2020-07-25,100
2020-07-26,50
2020-07-27,64
2020-07-28,71
2020-07-29,62
2020-07-30,63
2020-07-31,57
2020-08-01,39
2020-08-02,37
2020-08-03,46
2020-08-04,54
2020-08-05,56
2020-08-06,55
2020-08-07,48
2020-08-08,52
2020-08-09,54
2020-08-10,49
2020-08-11,45
2020-08-12,62
2020-08-13,62
2020-08-14,74
2020-08-15,79
2020-08-16,82
2020-08-17,77
2020-08-18,71
2020-08-19,63
2020-08-20,84
2020-08-21,70
2020-08-22,61
2020-08-23,56
2020-08-24,65
2020-08-25,73
2020-08-26,63
2020-08-27,67
2020-08-28,60
2020-08-29,58
2020-08-30,55
2020-08-31,67
2020-09-01,107
2020-09-02,69
2020-09-03,62
2020-09-04,56
2020-09-05,73
2020-09-06,70
2020-09-07,71
2020-09-08,71
2020-09-09,76
2020-09-10,83
2020-09-11,59
2020-09-12,8
2020-09-13,7
2020-09-14,39
2020-09-15,61
2020-09-16,55
2020-09-17,50
2020-09-18,31
2020-09-19,46
2020-09-20,52
2020-09-21,82
2020-09-22,78
2020-09-23,63
2020-09-24,81
2020-09-25,83
2020-09-26,57
2020-09-27,59
2020-09-28,38
2020-09-29,47
2020-09-30,59
2020-04-01,50
2020-04-02,53
2020-04-03,56
2020-04-04,54
2020-04-05,54
2020-04-06,55
2020-04-07,53
2020-04-08,58
2020-04-09,74
2020-04-10,67
2020-04-11,56
2020-04-12,62
2020-04-13,87
2020-04-14,107
2020-04-15,89
2020-04-16,69
2020-04-17,64
2020-04-18,65
2020-04-19,61
2020-04-20,59
2020-04-21,64
2020-04-22,55
2020-04-23,57
2020-04-24,86
2020-04-25,105
2020-04-26,85
2020-04-27,101
2020-04-28,86
2020-04-29,76
2020-04-30,65
2020-05-01,52
2020-05-02,54
2020-05-03,56
2020-05-04,47
2020-05-05,52
2020-05-06,42
2020-05-07,37
2020-05-08,34
2020-05-09,34
2020-05-10,38
2020-05-11,38
2020-05-12,56
2020-05-13,54
2020-05-14,60
2020-05-15,51
2020-05-16,56
2020-05-17,48
2020-05-18,61
2020-05-19,51
2020-05-20,66
2020-05-21,67
2020-05-22,67
2020-05-23,76
2020-05-24,77
2020-05-25,74
2020-05-26,89
2020-05-27,80
2020-05-28,80
2020-05-29,68
2020-05-30,90
2020-05-31,77
2020-06-01,92
2020-06-02,76
2020-06-03,88
2020-06-04,70
2020-06-05,81
2020-06-06,62
2020-06-07,74
2020-06-08,61
2020-06-09,64
2020-06-10,67
2020-06-11,87
2020-06-12,70
2020-06-13,64
2020-06-14,51
2020-06-15,62
2020-06-16,65
2020-06-17,117
2020-06-18,86
2020-06-19,100
2020-06-20,64
2020-06-21,63
2020-06-22,67
2020-06-23,62
2020-06-24,72
2020-06-25,85
2020-06-26,94
2020-06-27,51
2020-06-28,45
2020-06-29,59
2020-06-30,108
2020-01-01,80
2020-01-02,76
2020-01-03,91
2020-01-04,108
2020-01-05,110
2020-01-06,127
2020-01-07,91
2020-01-08,92
2020-01-09,111
2020-01-10,99
2020-01-11,100
2020-01-12,107
2020-01-13,98
2020-01-14,122
2020-01-15,117
2020-01-16,142
2020-01-17,122
2020-01-18,121
2020-01-19,111
2020-01-20,89
2020-01-21,90
2020-01-22,79
2020-01-23,62
2020-01-24,66
2020-01-25,53
2020-01-26,50
2020-01-27,52
2020-01-28,58
2020-01-29,62
2020-01-30,70
2020-01-31,78
2020-02-01,103
2020-02-02,110
2020-02-03,100
2020-02-04,85
2020-02-05,83
2020-02-06,92
2020-02-07,89
2020-02-08,114
2020-02-09,101
2020-02-10,101
2020-02-11,85
2020-02-12,58
2020-02-13,59
2020-02-14,62
2020-02-15,53
2020-02-16,59
2020-02-17,79
2020-02-18,84
2020-02-19,102
2020-02-20,117
2020-02-21,97
2020-02-22,73
2020-02-23,69
2020-02-24,99
2020-02-25,100
2020-02-26,89
2020-02-27,68
2020-02-28,85
2020-02-29,74
2020-03-01,63
2020-03-02,56
2020-03-03,55
2020-03-04,61
2020-03-05,57
2020-03-06,62
2020-03-07,67
2020-03-08,81
2020-03-09,81
2020-03-10,88
2020-03-11,75
2020-03-12,59
2020-03-13,54
2020-03-14,59
2020-03-15,56
2020-03-16,85
2020-03-17,80
2020-03-18,77
2020-03-19,58
2020-03-20,56
2020-03-21,60
2020-03-22,59
2020-03-23,52
2020-03-24,55
2020-03-25,60
2020-03-26,55
2020-03-27,53
2020-03-28,55
2020-03-29,46
2020-03-30,52
2020-03-31,54
2019-10-01,98
2019-10-02,99
2019-10-03,122
2019-10-04,87
2019-10-05,68
2019-10-06,68
2019-10-07,62
2019-10-08,78
2019-10-09,105
2019-10-10,100
2019-10-11,76
2019-10-12,61
2019-10-13,90
2019-10-14,73
2019-10-15,82
2019-10-16,93
2019-10-17,108
2019-10-18,116
2019-10-19,116
2019-10-20,106
2019-10-21,125
2019-10-22,129
2019-10-23,91
2019-10-24,103
2019-10-25,121
2019-10-26,105
2019-10-27,121
2019-10-28,103
2019-10-29,99
2019-10-30,112
2019-10-31,93
2019-11-01,100
2019-11-02,79
2019-11-03,109
2019-11-04,113
2019-11-05,150
2019-11-06,155
2019-11-07,157
2019-11-08,222
2019-11-09,169
2019-11-10,163
2019-11-12,166
2019-11-13,156
2019-11-15,111
2019-11-16,118
2019-11-17,97
2019-11-18,82
2019-11-19,101
2019-11-20,100
2019-11-21,129
2019-11-22,130
2019-11-23,126
2019-11-24,110
2019-11-25,112
2019-11-26,101
2019-11-27,86
2019-11-28,86
2019-11-29,88
2019-11-30,88
2019-12-01,89
2019-12-02,101
2019-12-03,111
2019-12-04,108
2019-12-05,113
2019-12-06,70
2019-12-07,104
2019-12-08,89
2019-12-09,96
2019-12-10,128
2019-12-11,130
2019-12-12,122
2019-12-13,118
2019-12-14,110
2019-12-15,87
2019-12-16,84
2019-12-17,91
2019-12-18,96
2019-12-19,106
2019-12-20,105
2019-12-21,103
2019-12-22,105
2019-12-23,94
2019-12-24,91
2019-12-25,98
2019-12-26,82
2019-12-27,107
2019-12-28,140
2019-12-29,137
2019-07-01,68
2019-07-02,70
2019-07-03,54
2019-07-04,54
2019-07-05,73
2019-07-06,71
2019-07-09,76
2019-07-10,77
2019-07-11,81
2019-07-12,80
2019-07-13,69
2019-07-14,67
2019-07-15,75
2019-07-16,62
2019-07-17,57
2019-07-18,52
2019-07-19,49
2019-07-20,53
2019-07-21,71
2019-07-22,59
2019-07-23,72
2019-07-24,64
2019-07-25,71
2019-07-26,70
2019-07-27,70
2019-07-28,77
2019-07-29,63
2019-07-30,75
2019-07-31,73
2019-08-01,70
2019-08-02,56
2019-08-03,50
2019-08-04,51
2019-08-05,62
2019-08-06,55
2019-08-07,54
2019-08-08,55
2019-08-09,46
2019-08-10,47
2019-08-11,57
2019-08-12,78
2019-08-13,80
2019-08-14,74
2019-08-15,53
2019-08-16,50
2019-08-17,77
2019-08-18,107
2019-08-19,86
2019-08-20,65
2019-08-21,79
2019-08-22,75
2019-08-23,66
2019-08-24,71
2019-08-25,54
2019-08-26,55
2019-08-27,65
2019-08-28,60
2019-08-29,55
2019-08-30,52
2019-08-31,58
2019-09-01,63
2019-09-02,36
2019-09-03,48
2019-09-04,55
2019-09-05,49
2019-09-06,58
2019-09-07,69
2019-09-08,74
2019-09-09,68
2019-09-10,80
2019-09-11,76
2019-09-12,89
2019-09-13,76
2019-09-14,70
2019-09-15,52
2019-09-16,57
2019-09-17,48
2019-09-18,50
2019-09-19,73
2019-09-20,132
2019-09-21,120
2019-09-22,126
2019-09-23,98
2019-09-24,120
2019-09-25,94
2019-09-26,104
2019-09-27,115
2019-09-28,118
2019-09-29,88
2019-09-30,102
2019-04-01,70
2019-04-02,76
2019-04-03,82
2019-04-04,77
2019-04-05,76
2019-04-06,78
2019-04-07,69
2019-04-08,59
2019-04-09,47
2019-04-10,35
2019-04-11,44
2019-04-12,44
2019-04-13,47
2019-04-14,38
2019-04-15,40
2019-04-16,57
2019-04-17,59
2019-04-18,64
2019-04-19,14
2019-04-20,15
2019-04-21,17
2019-04-22,38
2019-04-23,67
2019-04-24,73
2019-04-25,75
2019-04-26,61
2019-04-27,64
2019-04-28,74
2019-04-29,93
2019-04-30,56
2019-05-01,64
2019-05-02,64
2019-05-03,90
2019-05-04,66
2019-05-05,73
2019-05-06,66
2019-05-07,69
2019-05-08,67
2019-05-09,80
2019-05-10,87
2019-05-11,109
2019-05-12,95
2019-05-13,73
2019-05-14,76
2019-05-15,83
2019-05-16,67
2019-05-17,65
2019-05-18,60
2019-05-19,56
2019-05-20,63
2019-05-21,69
2019-05-22,82
2019-06-02,98
2019-06-03,90
2019-06-04,97
2019-06-05,94
2019-06-12,68
2019-06-13,73
2019-06-14,67
2019-06-15,81
2019-06-23,40
2019-06-24,45
2019-06-25,61
2019-06-26,68
2019-06-27,57
2019-06-28,65
2019-06-29,72
2019-06-30,73
2019-01-01,63
2019-01-02,76
2019-01-03,80
2019-01-04,63
2019-01-05,69
2019-01-06,84
2019-01-07,61
2019-01-08,91
2019-01-09,76
2019-01-10,66
2019-01-11,87
2019-01-12,88
2019-01-13,104
2019-01-14,99
2019-01-15,118
2019-01-16,99
2019-01-17,86
2019-01-18,82
2019-01-19,90
2019-01-20,107
2019-01-21,91
2019-01-22,111
2019-01-23,114
2019-01-24,108
2019-01-25,121
2019-01-26,115
2019-01-27,105
2019-01-28,123
2019-01-29,104
2019-01-30,85
2019-01-31,87
2019-02-01,94
2019-02-02,83
2019-02-03,73
2019-02-04,63
2019-02-05,68
2019-02-06,59
2019-02-07,57
2019-02-08,64
2019-02-09,66
2019-02-10,59
2019-02-11,71
2019-02-12,67
2019-02-13,75
2019-02-14,69
2019-02-15,68
2019-02-16,67
2019-02-17,63
2019-02-18,61
2019-02-19,69
2019-02-20,54
2019-02-21,46
2019-02-22,46
2019-02-23,44
2019-02-24,47
2019-02-25,51
2019-02-26,67
2019-02-27,76
2019-02-28,63
2019-03-01,66
2019-03-02,52
2019-03-03,56
2019-03-04,43
2019-03-05,37
2019-03-06,44
2019-03-07,31
2019-03-08,34
2019-03-09,23
2019-03-10,37
2019-03-11,54
2019-03-12,52
2019-03-13,69
2019-03-14,59
2019-03-15,78
2019-03-16,99
2019-03-17,95
2019-03-18,76
2019-03-19,48
2019-03-20,39
2019-03-21,36
2019-03-22,40
2019-03-23,24
2019-03-26,57
2019-03-27,54
2019-03-28,55
2019-03-29,51
2019-03-30,55
2019-03-31,57
2018-10-01,84
2018-10-02,98
2018-10-03,81
2018-10-04,59
2018-10-05,56
2018-10-06,102
2018-10-07,102
2018-10-08,118
2018-10-09,100
2018-10-10,89
2018-10-11,84
2018-10-12,89
2018-10-13,86
2018-10-14,72
2018-10-15,56
2018-10-16,44
2018-10-17,50
2018-10-18,106
2018-10-25,53
2018-10-26,66
